id,resultItemId,active,releaseId,quantity
1,61,true,,1
2,51,true,,1
3,123,true,,1
4,39,true,,1
5,152,true,,1
6,65,true,,1
7,41,true,,1
8,83,true,,2
9,91,true,,2
10,42,true,,1
11,34,true,,1
12,74,true,,1
13,94,true,,1
14,64,true,,1
15,112,true,,1
16,142,true,,1
17,52,true,,1
18,87,true,,2
19,121,true,,2
20,63,true,,2
21,44,true,,1
22,4,true,,1
23,73,true,,1
24,72,true,,1
25,60,true,,1
26,100,true,,1
27,80,true,,1
28,129,true,,1
29,77,true,,1
30,62,true,,2
31,59,true,,2
32,104,true,,2
33,70,true,,1
34,2,true,,1
35,7,true,,1
37,108,true,,1
38,78,true,,1
39,69,true,,1
40,68,true,,1
41,113,true,,2
42,116,true,,2
44,93,true,,1
45,5,true,,1
46,99,true,,1
47,56,true,,1
48,49,true,,1
52,45,true,,1
53,8,true,,1
54,30,true,,1
55,6,true,,1
56,124,true,,1
57,75,true,,1
58,117,true,,1
59,136,true,,1
60,40,true,,1
61,31,true,,1
62,32,true,,1
63,79,true,,1
64,131,true,,1
65,122,true,,1
66,86,true,,1
67,1,true,,1
68,38,true,,1
69,92,true,,1
70,84,true,,1
71,48,true,,1
72,82,true,,1
73,71,true,,1
74,66,true,,1
75,143,true,,1
76,47,true,,1
77,54,true,,1
79,33,true,,1
80,55,true,,1
81,3,true,,1
82,46,true,,1
93,341,true,,1
95,371,true,,1
96,384,true,,2
97,380,true,,2
98,373,true,,1
99,375,true,,1
100,385,true,,1
101,374,true,,1
102,372,true,,1
103,387,true,,1
104,386,true,,1
105,391,true,,1
108,370,true,,5
109,390,true,,2
110,388,true,,2
111,383,true,,2
112,379,true,,2
113,389,true,,2
114,395,true,,2
116,420,true,,1
117,88,true,,1
118,433,true,,1
121,450,true,,1
122,451,true,,1
129,101,true,,1
130,496,true,,1
131,509,true,,1
132,506,true,,1
133,483,true,,2
134,482,true,,2
135,475,true,,1
136,510,true,,1
137,490,true,,1
138,488,true,,1
139,497,true,,1
140,498,true,,1
141,508,true,,1
142,505,true,,1
143,457,true,,1
144,455,true,,1
145,456,true,,1
150,599,true,,1
151,598,true,,1
152,602,true,,2
153,600,true,,2
154,611,true,,2
155,610,true,,2
156,614,true,,1
157,609,true,,1
158,612,true,,1
159,616,true,,1
160,617,true,,1
161,595,true,,1
162,613,true,,1
163,618,true,,1
164,594,true,,1
165,652,true,,1
166,765,true,,1
167,764,true,,1
168,766,true,,1
169,763,true,,1
170,865,true,,1
171,866,true,,1
172,908,true,,1
173,909,true,,1
174,910,true,,1
175,830,true,,1
176,828,true,,1
177,829,true,,1
178,165,true,,1
179,120,true,,1
180,960,true,,1
181,126,true,,1
182,176,true,,1
183,172,true,,1
184,109,true,,1
185,173,true,,1
186,96,true,,1
187,163,true,,1
188,186,true,,1
189,139,true,,1
190,107,true,,1
191,928,true,,1
192,929,true,,1
193,930,true,,1
194,927,true,,1
195,926,true,,1
196,925,true,,1
197,872,true,,1
198,873,true,,1
199,863,true,,1
200,864,true,,1
201,870,true,,1
202,871,true,,1
203,867,true,,1
204,1057,true,,1
205,1053,true,,1
206,1051,true,,1
207,1060,true,,1
208,1049,true,,1
209,1050,true,,1
210,1065,true,,1
211,1054,true,,1
212,1066,true,,2
213,1067,true,,2
214,1042,true,,1
215,1058,true,,1
216,1056,true,,1
217,1055,true,,1
218,1062,true,,1
219,1061,true,,1
220,1052,true,,1
221,1012,true,,1
222,1125,true,,1
223,1124,true,,1
224,1123,true,,1
225,1132,true,,1
226,1126,true,,1
227,1137,true,,1
228,1202,true,,1
229,1204,true,,1
230,1210,true,,1
231,1211,true,,1
232,1212,true,,2
233,1213,true,,2
234,1251,true,,1
235,1253,true,,2
236,1254,true,,2
237,1248,true,,1
238,1249,true,,1
239,1237,true,,1
240,1252,true,,2
241,1247,true,,1
242,1250,true,,1
243,1238,true,,1
244,1312,true,,1
245,1318,true,,2
246,1319,true,,2
247,1316,true,,1
248,1311,true,,1
249,1314,true,,1
250,1307,true,,1
251,1358,true,,1
252,1360,true,,1
253,1359,true,,1
254,1357,true,,1
255,1371,true,,1
256,1376,true,,1
257,1372,true,,1
258,1373,true,,1
259,1393,true,,1
260,1419,true,,1
261,1422,true,,1
262,1418,true,,1
263,1416,true,,1
264,1420,true,,1